Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1979,1979,1979,,95,,http://reference.data.gov.uk/id/year/1979
1980,1980,1980,,96,,http://reference.data.gov.uk/id/year/1980
1981,1981,1981,,97,,http://reference.data.gov.uk/id/year/1981
1982,1982,1982,,98,,http://reference.data.gov.uk/id/year/1982
1983,1983,1983,,99,,http://reference.data.gov.uk/id/year/1983
1984,1984,1984,,100,,http://reference.data.gov.uk/id/year/1984
1985,1985,1985,,101,,http://reference.data.gov.uk/id/year/1985
1986,1986,1986,,102,,http://reference.data.gov.uk/id/year/1986
1987,1987,1987,,103,,http://reference.data.gov.uk/id/year/1987
1988,1988,1988,,104,,http://reference.data.gov.uk/id/year/1988
1989,1989,1989,,105,,http://reference.data.gov.uk/id/year/1989
1990,1990,1990,,106,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,107,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,108,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,109,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,110,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,111,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,112,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,113,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,114,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,115,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,116,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,117,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,118,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,119,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,120,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,121,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,122,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,123,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,124,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,125,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,126,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,127,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,128,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,129,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,130,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,131,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,132,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,133,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,134,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,135,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,136,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,137,,http://reference.data.gov.uk/id/year/2021
2022,2022,2022,,138,,http://reference.data.gov.uk/id/year/2022
