Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1931,1931,1931,,95,,http://reference.data.gov.uk/id/year/1931
1932,1932,1932,,96,,http://reference.data.gov.uk/id/year/1932
1933,1933,1933,,97,,http://reference.data.gov.uk/id/year/1933
1934,1934,1934,,98,,http://reference.data.gov.uk/id/year/1934
1935,1935,1935,,99,,http://reference.data.gov.uk/id/year/1935
1936,1936,1936,,100,,http://reference.data.gov.uk/id/year/1936
1937,1937,1937,,101,,http://reference.data.gov.uk/id/year/1937
1938,1938,1938,,102,,http://reference.data.gov.uk/id/year/1938
1939,1939,1939,,103,,http://reference.data.gov.uk/id/year/1939
1940,1940,1940,,104,,http://reference.data.gov.uk/id/year/1940
1941,1941,1941,,105,,http://reference.data.gov.uk/id/year/1941
1942,1942,1942,,106,,http://reference.data.gov.uk/id/year/1942
1943,1943,1943,,107,,http://reference.data.gov.uk/id/year/1943
1944,1944,1944,,108,,http://reference.data.gov.uk/id/year/1944
1945,1945,1945,,109,,http://reference.data.gov.uk/id/year/1945
1946,1946,1946,,110,,http://reference.data.gov.uk/id/year/1946
1947,1947,1947,,111,,http://reference.data.gov.uk/id/year/1947
1948,1948,1948,,112,,http://reference.data.gov.uk/id/year/1948
1949,1949,1949,,113,,http://reference.data.gov.uk/id/year/1949
1950,1950,1950,,114,,http://reference.data.gov.uk/id/year/1950
1951,1951,1951,,115,,http://reference.data.gov.uk/id/year/1951
1952,1952,1952,,116,,http://reference.data.gov.uk/id/year/1952
1953,1953,1953,,117,,http://reference.data.gov.uk/id/year/1953
1954,1954,1954,,118,,http://reference.data.gov.uk/id/year/1954
1955,1955,1955,,119,,http://reference.data.gov.uk/id/year/1955
1956,1956,1956,,120,,http://reference.data.gov.uk/id/year/1956
1957,1957,1957,,121,,http://reference.data.gov.uk/id/year/1957
1958,1958,1958,,122,,http://reference.data.gov.uk/id/year/1958
1959,1959,1959,,123,,http://reference.data.gov.uk/id/year/1959
1960,1960,1960,,124,,http://reference.data.gov.uk/id/year/1960
1961,1961,1961,,125,,http://reference.data.gov.uk/id/year/1961
1962,1962,1962,,126,,http://reference.data.gov.uk/id/year/1962
1963,1963,1963,,127,,http://reference.data.gov.uk/id/year/1963
1964,1964,1964,,128,,http://reference.data.gov.uk/id/year/1964
1965,1965,1965,,129,,http://reference.data.gov.uk/id/year/1965
1966,1966,1966,,130,,http://reference.data.gov.uk/id/year/1966
1967,1967,1967,,131,,http://reference.data.gov.uk/id/year/1967
1968,1968,1968,,132,,http://reference.data.gov.uk/id/year/1968
1969,1969,1969,,133,,http://reference.data.gov.uk/id/year/1969
1970,1970,1970,,134,,http://reference.data.gov.uk/id/year/1970
1971,1971,1971,,135,,http://reference.data.gov.uk/id/year/1971
1972,1972,1972,,136,,http://reference.data.gov.uk/id/year/1972
1973,1973,1973,,137,,http://reference.data.gov.uk/id/year/1973
1974,1974,1974,,138,,http://reference.data.gov.uk/id/year/1974
1975,1975,1975,,139,,http://reference.data.gov.uk/id/year/1975
1976,1976,1976,,140,,http://reference.data.gov.uk/id/year/1976
1977,1977,1977,,141,,http://reference.data.gov.uk/id/year/1977
1978,1978,1978,,142,,http://reference.data.gov.uk/id/year/1978
1979,1979,1979,,143,,http://reference.data.gov.uk/id/year/1979
1980,1980,1980,,144,,http://reference.data.gov.uk/id/year/1980
1981,1981,1981,,145,,http://reference.data.gov.uk/id/year/1981
1982,1982,1982,,146,,http://reference.data.gov.uk/id/year/1982
1983,1983,1983,,147,,http://reference.data.gov.uk/id/year/1983
1984,1984,1984,,148,,http://reference.data.gov.uk/id/year/1984
1985,1985,1985,,149,,http://reference.data.gov.uk/id/year/1985
1986,1986,1986,,150,,http://reference.data.gov.uk/id/year/1986
1987,1987,1987,,151,,http://reference.data.gov.uk/id/year/1987
1988,1988,1988,,152,,http://reference.data.gov.uk/id/year/1988
1989,1989,1989,,153,,http://reference.data.gov.uk/id/year/1989
1990,1990,1990,,154,,http://reference.data.gov.uk/id/year/1990
1991,1991,1991,,155,,http://reference.data.gov.uk/id/year/1991
1992,1992,1992,,156,,http://reference.data.gov.uk/id/year/1992
1993,1993,1993,,157,,http://reference.data.gov.uk/id/year/1993
1994,1994,1994,,158,,http://reference.data.gov.uk/id/year/1994
1995,1995,1995,,159,,http://reference.data.gov.uk/id/year/1995
1996,1996,1996,,160,,http://reference.data.gov.uk/id/year/1996
1997,1997,1997,,161,,http://reference.data.gov.uk/id/year/1997
1998,1998,1998,,162,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,163,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,164,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,165,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,166,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,167,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,168,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,169,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,170,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,171,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,172,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,173,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,174,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,175,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,176,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,177,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,178,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,179,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,180,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,181,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,182,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,183,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,184,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,185,,http://reference.data.gov.uk/id/year/2021
2022,2022,2022,,186,,http://reference.data.gov.uk/id/year/2022
